id,label
0,31963,1
1,31964,1
2,31965,1
3,31966,1
4,31967,1
5,31968,0
6,31969,1
7,31970,1
8,31971,1
9,31972,1
10,31973,1
11,31974,1
12,31975,1
13,31976,1
14,31977,1
15,31978,1
16,31979,1
17,31980,1
18,31981,1
19,31982,1
20,31983,1
21,31984,1
22,31985,1
23,31986,0
24,31987,1
25,31988,1
26,31989,0
27,31990,1
28,31991,0
29,31992,1
30,31993,1
31,31994,1
32,31995,1
33,31996,1
34,31997,1
35,31998,1
36,31999,1
37,32000,1
38,32001,1
39,32002,0
40,32003,1
41,32004,1
42,32005,1
43,32006,1
44,32007,1
45,32008,1
46,32009,1
47,32010,1
48,32011,1
49,32012,0
50,32013,1
51,32014,1
52,32015,1
53,32016,1
54,32017,1
55,32018,1
56,32019,1
57,32020,1
58,32021,0
59,32022,0
60,32023,1
61,32024,1
62,32025,0
63,32026,1
64,32027,1
65,32028,1
66,32029,1
67,32030,1
68,32031,1
69,32032,1
70,32033,1
71,32034,1
72,32035,1
73,32036,1
74,32037,1
75,32038,1
76,32039,1
77,32040,1
78,32041,1
79,32042,1
80,32043,1
81,32044,1
82,32045,1
83,32046,1
84,32047,1
85,32048,1
86,32049,1
87,32050,1
88,32051,0
89,32052,1
90,32053,0
91,32054,1
92,32055,1
93,32056,1
94,32057,1
95,32058,1
96,32059,1
97,32060,1
98,32061,1
99,32062,1
100,32063,1
101,32064,1
102,32065,1
103,32066,1
104,32067,1
105,32068,1
106,32069,1
107,32070,1
108,32071,1
109,32072,1
110,32073,1
111,32074,1
112,32075,0
113,32076,1
114,32077,0
115,32078,1
116,32079,1
117,32080,1
118,32081,1
119,32082,1
120,32083,1
121,32084,1
122,32085,1
123,32086,1
124,32087,1
125,32088,1
126,32089,1
127,32090,0
128,32091,1
129,32092,1
130,32093,1
131,32094,1
132,32095,1
133,32096,1
134,32097,1
135,32098,0
136,32099,1
137,32100,1
138,32101,1
139,32102,1
140,32103,1
141,32104,0
142,32105,1
143,32106,1
144,32107,1
145,32108,1
146,32109,1
147,32110,1
148,32111,1
149,32112,1
150,32113,0
151,32114,0
152,32115,1
153,32116,1
154,32117,0
155,32118,1
156,32119,1
157,32120,1
158,32121,1
159,32122,1
160,32123,1
161,32124,1
162,32125,1
163,32126,1
164,32127,1
165,32128,1
166,32129,1
167,32130,0
168,32131,1
169,32132,0
170,32133,1
171,32134,1
172,32135,1
173,32136,1
174,32137,1
175,32138,1
176,32139,1
177,32140,1
178,32141,1
179,32142,1
180,32143,1
181,32144,1
182,32145,1
183,32146,1
184,32147,1
185,32148,1
186,32149,1
187,32150,0
188,32151,1
189,32152,1
190,32153,1
191,32154,1
192,32155,0
193,32156,1
194,32157,0
195,32158,0
196,32159,1
197,32160,1
198,32161,1
199,32162,1
200,32163,1
201,32164,1
202,32165,1
203,32166,0
204,32167,1
205,32168,1
206,32169,1
207,32170,1
208,32171,1
209,32172,1
210,32173,1
211,32174,1
212,32175,1
213,32176,1
214,32177,1
215,32178,1
216,32179,0
217,32180,1
218,32181,1
219,32182,0
220,32183,1
221,32184,1
222,32185,1
223,32186,1
224,32187,1
225,32188,1
226,32189,0
227,32190,1
228,32191,1
229,32192,1
230,32193,1
231,32194,1
232,32195,1
233,32196,1
234,32197,1
235,32198,0
236,32199,1
237,32200,1
238,32201,1
239,32202,1
240,32203,0
241,32204,1
242,32205,1
243,32206,1
244,32207,1
245,32208,1
246,32209,1
247,32210,1
248,32211,0
249,32212,1
250,32213,1
251,32214,1
252,32215,1
253,32216,1
254,32217,1
255,32218,1
256,32219,1
257,32220,1
258,32221,1
259,32222,1
260,32223,1
261,32224,1
262,32225,1
263,32226,1
264,32227,1
265,32228,1
266,32229,1
267,32230,1
268,32231,1
269,32232,1
270,32233,1
271,32234,1
272,32235,1
273,32236,0
274,32237,1
275,32238,1
276,32239,1
277,32240,1
278,32241,1
279,32242,1
280,32243,1
281,32244,0
282,32245,0
283,32246,0
284,32247,1
285,32248,1
286,32249,0
287,32250,0
288,32251,1
289,32252,1
290,32253,0
291,32254,1
292,32255,1
293,32256,1
294,32257,1
295,32258,0
296,32259,0
297,32260,1
298,32261,0
299,32262,1
300,32263,1
301,32264,1
302,32265,1
303,32266,1
304,32267,1
305,32268,1
306,32269,1
307,32270,1
308,32271,1
309,32272,1
310,32273,0
311,32274,1
312,32275,1
313,32276,1
314,32277,1
315,32278,1
316,32279,0
317,32280,1
318,32281,1
319,32282,1
320,32283,1
321,32284,1
322,32285,0
323,32286,1
324,32287,1
325,32288,1
326,32289,1
327,32290,0
328,32291,1
329,32292,1
330,32293,1
331,32294,1
332,32295,1
333,32296,1
334,32297,0
335,32298,0
336,32299,1
337,32300,1
338,32301,1
339,32302,1
340,32303,1
341,32304,1
342,32305,1
343,32306,1
344,32307,1
345,32308,1
346,32309,1
347,32310,1
348,32311,1
349,32312,1
350,32313,0
351,32314,1
352,32315,1
353,32316,1
354,32317,1
355,32318,1
356,32319,1
357,32320,1
358,32321,1
359,32322,1
360,32323,1
361,32324,1
362,32325,1
363,32326,1
364,32327,1
365,32328,1
366,32329,1
367,32330,1
368,32331,1
369,32332,0
370,32333,1
371,32334,1
372,32335,1
373,32336,0
374,32337,1
375,32338,1
376,32339,0
377,32340,1
378,32341,1
379,32342,1
380,32343,1
381,32344,1
382,32345,1
383,32346,0
384,32347,1
385,32348,1
386,32349,1
387,32350,1
388,32351,1
389,32352,1
390,32353,1
391,32354,0
392,32355,1
393,32356,1
394,32357,1
395,32358,1
396,32359,1
397,32360,1
398,32361,0
399,32362,0
400,32363,1
401,32364,1
402,32365,1
403,32366,1
404,32367,0
405,32368,1
406,32369,1
407,32370,1
408,32371,1
409,32372,1
410,32373,1
411,32374,1
412,32375,1
413,32376,1
414,32377,1
415,32378,1
416,32379,0
417,32380,1
418,32381,1
419,32382,1
420,32383,1
421,32384,1
422,32385,0
423,32386,0
424,32387,1
425,32388,1
426,32389,1
427,32390,1
428,32391,1
429,32392,1
430,32393,1
431,32394,1
432,32395,1
433,32396,1
434,32397,1
435,32398,1
436,32399,1
437,32400,0
438,32401,1
439,32402,1
440,32403,1
441,32404,1
442,32405,0
443,32406,0
444,32407,1
445,32408,1
446,32409,1
447,32410,1
448,32411,0
449,32412,1
450,32413,1
451,32414,1
452,32415,1
453,32416,0
454,32417,1
455,32418,1
456,32419,1
457,32420,1
458,32421,1
459,32422,1
460,32423,1
461,32424,1
462,32425,1
463,32426,0
464,32427,1
465,32428,1
466,32429,0
467,32430,1
468,32431,1
469,32432,1
470,32433,1
471,32434,1
472,32435,0
473,32436,1
474,32437,1
475,32438,0
476,32439,1
477,32440,0
478,32441,1
479,32442,1
480,32443,1
481,32444,1
482,32445,1
483,32446,1
484,32447,1
485,32448,1
486,32449,1
487,32450,1
488,32451,1
489,32452,1
490,32453,0
491,32454,1
492,32455,1
493,32456,1
494,32457,0
495,32458,1
496,32459,1
497,32460,1
498,32461,1
499,32462,1
500,32463,1
501,32464,0
502,32465,1
503,32466,1
504,32467,1
505,32468,1
506,32469,1
507,32470,1
508,32471,0
509,32472,1
510,32473,1
511,32474,1
512,32475,1
513,32476,1
514,32477,1
515,32478,1
516,32479,1
517,32480,1
518,32481,0
519,32482,0
520,32483,1
521,32484,0
522,32485,1
523,32486,1
524,32487,1
525,32488,1
526,32489,1
527,32490,1
528,32491,1
529,32492,1
530,32493,1
531,32494,1
532,32495,1
533,32496,1
534,32497,1
535,32498,0
536,32499,1
537,32500,1
538,32501,1
539,32502,1
540,32503,1
541,32504,1
542,32505,1
543,32506,1
544,32507,1
545,32508,1
546,32509,1
547,32510,1
548,32511,0
549,32512,1
550,32513,0
551,32514,1
552,32515,1
553,32516,1
554,32517,1
555,32518,0
556,32519,0
557,32520,1
558,32521,1
559,32522,1
560,32523,0
561,32524,0
562,32525,1
563,32526,1
564,32527,1
565,32528,1
566,32529,1
567,32530,0
568,32531,1
569,32532,1
570,32533,1
571,32534,1
572,32535,0
573,32536,1
574,32537,1
575,32538,0
576,32539,1
577,32540,1
578,32541,1
579,32542,1
580,32543,1
581,32544,1
582,32545,0
583,32546,0
584,32547,1
585,32548,1
586,32549,1
587,32550,1
588,32551,1
589,32552,1
590,32553,1
591,32554,1
592,32555,1
593,32556,1
594,32557,1
595,32558,1
596,32559,1
597,32560,1
598,32561,1
599,32562,1
600,32563,1
601,32564,0
602,32565,0
603,32566,0
604,32567,1
605,32568,0
606,32569,1
607,32570,1
608,32571,1
609,32572,1
610,32573,1
611,32574,1
612,32575,1
613,32576,0
614,32577,1
615,32578,1
616,32579,0
617,32580,1
618,32581,1
619,32582,1
620,32583,0
621,32584,1
622,32585,1
623,32586,1
624,32587,1
625,32588,1
626,32589,1
627,32590,1
628,32591,1
629,32592,1
630,32593,1
631,32594,0
632,32595,1
633,32596,0
634,32597,1
635,32598,1
636,32599,1
637,32600,0
638,32601,0
639,32602,1
640,32603,1
641,32604,1
642,32605,1
643,32606,1
644,32607,1
645,32608,1
646,32609,1
647,32610,0
648,32611,1
649,32612,1
650,32613,1
651,32614,1
652,32615,1
653,32616,1
654,32617,0
655,32618,0
656,32619,1
657,32620,1
658,32621,1
659,32622,1
660,32623,1
661,32624,1
662,32625,0
663,32626,1
664,32627,1
665,32628,0
666,32629,1
667,32630,1
668,32631,1
669,32632,1
670,32633,0
671,32634,1
672,32635,1
673,32636,1
674,32637,1
675,32638,1
676,32639,1
677,32640,1
678,32641,1
679,32642,0
680,32643,1
681,32644,1
682,32645,1
683,32646,1
684,32647,1
685,32648,0
686,32649,1
